Product_Name,Price_SR,Calories_kcal,Walk_m
Pretzels - Spanish and Cheese,14,246,85.7
Pretzels - Turkey and Cheese,14,316,85.7
Waffel Carmel,6,215,55.0
Flat Croissant - Chocolate,12,268,69.6
Flat Croissant - Louts,12,268,69.6
Mini Brownies,12,477,124.0
Donut,7,406,105.5
Muffin - Chocolate,8,608,163.6
Muffin - Raspberry,8,608,85.7
Mini Cookies,12,440,124.3
White Cookies,8,494,128.4
Dark Cookies,8,486,127.3
English Cake,8,450,116.3
Nutella Donut,9,330,105.5
Yellow Cheese Croissant,8,265,127.3
White Cheese Croissant,8,265,124.4
Cinnamon Donut,9,260,67.5
Lemon English Cake,8,460,119.5
